category,sub_category,number_of_listings,avg_listing_price_eur,revenue_from_promoted
ACCESSORIES_JEWELLERY,BELTS,29838,21.2731614,1382
ACCESSORIES_JEWELLERY,GLOVES,6350,17.04385984,304
ACCESSORIES_JEWELLERY,JEWELRY,343493,17.93588,20554
ACCESSORIES_JEWELLERY,KEY_RINGS,5,15.9,NULL
ACCESSORIES_JEWELLERY,OTHER_ACCESSORIES_AND_JEWELLERY,52245,33.02354752,2782
ACCESSORIES_JEWELLERY,SOCKS_TIGHTS_STOCKINGS,8741,6.55535179,270
ACCESSORIES_JEWELLERY,SUNGLASSES,34020,47.93094327,3902
ACCESSORIES_JEWELLERY,TRADITIONA_ACCESSORIES_WOMEN,271,16.50738007,6
ACCESSORIES_JEWELLERY,WATCHES,66595,67.92293445,9238
ACCESSORIES_JEWELLERY,WOM_ACC_HATS_CAPS,53325,13.61605813,2448
ACCESSORIES_JEWELLERY,WOM_ACC_SCARVES_SHAWLS,144286,12.81199035,5284
ACCESSORIES_JEWELLERY,W_ACC_UMBRELLAS,1,5,NULL
ACCESSORIES_JEWELLERY,W_HAIR_ACCESSORIES,3417,10.0788089,100
ACCESSORIES_JEWELLERY,W_OTHER_ACCESSORIES,20205,17.18272952,1116
ALL_OTHERS,NULL,70215,18.26906744,3274
BABY_CARE,BABY_CARRIERS_AND_BABY_CARRYING_BELTS,23534,52.92112731,3042
BABY_CARE,BABY_FEEDING_ACCESSORIES,35882,10.55939803,1534
BABY_CARE,BAB_BIBS,4836,4.791346154,42
BABY_CARE,BATHING_GEAR,10482,9.729632704,378
BABY_CARE,BOUNCERS_AND_SWINGS,9472,46.14404139,1122
BABY_CARE,CHILD_SAFETY,4960,17.82525806,230
BABY_CARE,DIAPERING_AND_CARING,22210,22.18133543,1598
BABY_CARE,POTTIES,1438,9.014986092,48
BABY_CARE,SLEEPING_ACCESSORIES,92987,12.79581888,5206
BABY_CARE,TECHNICAL_ITEMS_FOR_BABIES_AND_KIDS,11227,27.7145827,1044
BABY_FURNITURE,BABY_BEDS,6101,91.76107523,886
BABY_FURNITURE,BEDDING_FOR_DIAPERS_CHANGING,1329,32.74691497,108
BABY_FURNITURE,BEDS_FOR_KIDS,3083,101.0257314,396
BABY_FURNITURE,EDUCATIONAL_BLANKETS,3069,21.30329097,336
BABY_FURNITURE,KIDS_ROOM_FURNITURE,4479,77.66778075,398
BABY_FURNITURE,MATTRESSES,1126,27.1142984,126
BABY_FURNITURE,NIGHTLIGHTS,1847,15.3640065,144
BABY_FURNITURE,NURSERIES,4118,75.34567509,726
BABY_FURNITURE,PLAYPENS,4307,54.22876248,514
BABY_FURNITURE,ROOM_DECORATION,8461,15.53660915,506
BAGS_BACKPACKS,BACKPACKS,24933,38.78657642,2824
BAGS_BACKPACKS,CLUTCHES,26274,32.579066,2122
BAGS_BACKPACKS,HANDBAGS,184771,69.99430674,23136
BAGS_BACKPACKS,MAKE_UP_BAGS,6307,18.96329158,438
BAGS_BACKPACKS,PURSES,29923,38.59278515,3156
BAGS_BACKPACKS,SHOULDER_BAGS,98807,43.71629571,10992
BAGS_BACKPACKS,TOTE_BAGS,8233,12.31952994,440
BAGS_BACKPACKS,WOM_ACC_BAG_OTHER,15462,36.60854159,1266
BAGS_BACKPACKS,W_BUM_BAGS,1,7.9,NULL
BAGS_BACKPACKS,W_HOLDALLS,7,26.42857143,NULL
BAGS_BACKPACKS,W_LUGGAGE,1,300,NULL
BOOKS_AND_SCHOOL,BOOKS_FOR_KIDS,48261,5.066480802,466
BOOKS_AND_SCHOOL,LITERATURE_FOR_PARENTS,10813,7.260281143,228
BOOKS_AND_SCHOOL,SCHOOLBOOKS,1682,6.02626635,20
BOOKS_AND_SCHOOL,SCHOOL_BAGS,2825,21.80997876,222
BOOKS_AND_SCHOOL,SCHOOL_PACKAGES,4326,10.77299353,126
BOOKS_AND_SCHOOL,SUPPLIES_FOR_SCHOOL,1933,6.945576824,32
CHAIRS,BABY_CAR_CHAIRS,16579,77.38225225,2362
CHAIRS,FEEDING_CHAIRS,8069,44.8820932,520
CHILD_SAFETY,BAB_CHI_OTHER,48,18.92604167,NULL
CLOTHING_FOR_BOYS,BABY_CLOTHING,201877,5.895854505,5900
CLOTHING_FOR_BOYS,BOYS_UNDERW,26908,3.700221867,150
CLOTHING_FOR_BOYS,CLOTH_PACKAGES,240540,10.71542392,10888
CLOTHING_FOR_BOYS,CLO_ACCESSORIES,76305,5.028772164,1350
CLOTHING_FOR_BOYS,CLO_CARDIGANS_AND_JUMPERS,213368,6.491316692,6344
CLOTHING_FOR_BOYS,CLO_FOOTWEAR,164689,12.55731615,9688
CLOTHING_FOR_BOYS,CLO_OTH_SWIMWEAR,12303,6.354205478,154
CLOTHING_FOR_BOYS,CLO_OTH_THEMED_COSTUMES,6499,16.90977073,528
CLOTHING_FOR_BOYS,CLO_PANTS,262873,6.582380503,5690
CLOTHING_FOR_BOYS,COSTUMS_BOYS,3653,9.827569121,104
CLOTHING_FOR_BOYS,FOR_SLEEP,46647,5.095602075,662
CLOTHING_FOR_BOYS,KIDS_HANDBAGS,551,9.964319419,14
CLOTHING_FOR_BOYS,OUTDOOR_CLOTHING,174736,13.66717168,12898
CLOTHING_FOR_BOYS,SHIRTS_T_SHIRTS_AND_TOPS,263248,4.936977793,3616
